saved offline_trajectories/trajectory_seed_000.npz | steps=8082 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_001.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_002.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_003.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_004.npz | steps=23245 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_005.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_006.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_007.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_008.npz | steps=13446 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_009.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_010.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_011.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_012.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_013.npz | steps=14328 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_014.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_015.npz | steps=8480 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_016.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_017.npz | steps=14525 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_018.npz | steps=12364 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_019.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_020.npz | steps=6873 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_021.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_022.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_023.npz | steps=10492 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_024.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_025.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_026.npz | steps=11853 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_027.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_028.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_029.npz | steps=14156 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_030.npz | steps=11421 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_031.npz | steps=11100 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_032.npz | steps=37729 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_033.npz | steps=14685 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_034.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_035.npz | steps=29559 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_036.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_037.npz | steps=23042 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_038.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
