[startup] Initializing environment...
[startup] Environment initialized in 0.0s
[startup] Resetting environment and loading checkpoint...
[startup] Checkpoint loaded in 5.5s
[startup] Loading evaluation goal...
Using badge-success goal: /home/yeonlife/rl_project/PokemonofflineRL/offline_trajectories/trajectory_seed_000.npz (step 8081)
[startup] Evaluation goal loaded in 0.2s
Checkpoint: /home/yeonlife/rl_project/PokemonofflineRL/checkpoints/hiql_0804/hiql_10000.msgpack
Evaluating 300 episodes (max 50000 steps each, logging every 1000 steps)
[startup] Ready in 5.6s. The first policy call may include JAX compilation time.
[episode 1/300] resetting environment...
[episode 1/300] started (reset=0.0s, max_steps=50,000)
[episode 1/300 | step 1,000/50,000] return=0.250 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 1/300 | step 2,000/50,000] return=0.350 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 1/300 | step 3,000/50,000] return=3.650 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 1/300 | step 4,000/50,000] return=3.650 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 1/300 | step 5,000/50,000] return=28.700 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 1/300 | step 6,000/50,000] return=32.750 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 1/300 | step 7,000/50,000] return=38.600 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=2, map=40)
[episode 1/300 | step 8,000/50,000] return=51.774 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=2, map=0)
[episode 1/300 | step 9,000/50,000] return=59.680 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=12, y=24, map=12)
[episode 1/300 | step 10,000/50,000] return=64.898 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=10, map=0)
[episode 1/300 | step 11,000/50,000] return=65.705 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=30, map=12)
[episode 1/300 | step 12,000/50,000] return=66.626 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=29, map=12)
[episode 1/300 | step 13,000/50,000] return=66.626 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=29, map=12)
[episode 1/300 | step 14,000/50,000] return=70.227 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=12)
[episode 1/300 | step 15,000/50,000] return=70.177 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 1/300 | step 16,000/50,000] return=70.227 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=12)
[episode 1/300 | step 17,000/50,000] return=74.357 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=12)
[episode 1/300 | step 18,000/50,000] return=75.557 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=12, map=0)
[episode 1/300 | step 19,000/50,000] return=76.057 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=8, map=0)
[episode 1/300 | step 20,000/50,000] return=77.057 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=16, y=12, map=0)
[episode 1/300 | step 21,000/50,000] return=77.057 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=6, y=6, map=0)
[episode 1/300 | step 22,000/50,000] return=77.757 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=5, map=0)
[episode 1/300 | step 23,000/50,000] return=79.057 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=6, map=0)
[episode 1/300 | step 24,000/50,000] return=79.357 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=17, map=0)
[episode 1/300 | step 25,000/50,000] return=79.657 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=11, y=15, map=0)
[episode 1/300 | step 26,000/50,000] return=80.157 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=5, map=39)
[episode 1/300 | step 27,000/50,000] return=80.157 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=15, y=12, map=0)
[episode 1/300 | step 28,000/50,000] return=80.157 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=6, map=0)
[episode 1/300 | step 29,000/50,000] return=80.157 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=14, map=0)
[episode 1/300 | step 30,000/50,000] return=80.157 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=12, map=0)
[episode 1/300 | step 31,000/50,000] return=80.107 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=5, map=37)
[episode 1/300 | step 32,000/50,000] return=80.107 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=6, map=0)
[episode 1/300 | step 33,000/50,000] return=81.507 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=7, y=7, map=38)
[episode 1/300 | step 34,000/50,000] return=81.557 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=7, y=5, map=38)
[episode 1/300 | step 35,000/50,000] return=81.757 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=5, map=0)
[episode 1/300 | step 36,000/50,000] return=81.757 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=14, y=6, map=0)
[episode 1/300 | step 37,000/50,000] return=81.757 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=12, y=12, map=0)
[episode 1/300 | step 38,000/50,000] return=82.007 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=5, map=39)
[episode 1/300 | step 39,000/50,000] return=82.057 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=12, y=11, map=40)
[episode 1/300 | step 40,000/50,000] return=82.057 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=12, y=7, map=0)
[episode 1/300 | step 41,000/50,000] return=82.007 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=0)
[episode 1/300 | step 42,000/50,000] return=82.007 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=6, map=0)
[episode 1/300 | step 43,000/50,000] return=82.057 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=11, y=14, map=0)
[episode 1/300 | step 44,000/50,000] return=82.407 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=5, map=39)
[episode 1/300 | step 45,000/50,000] return=82.457 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=11, map=40)
[episode 1/300 | step 46,000/50,000] return=82.457 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=11, y=6, map=0)
[episode 1/300 | step 47,000/50,000] return=82.557 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=16, y=12, map=0)
[episode 1/300 | step 48,000/50,000] return=82.507 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=6, map=0)
[episode 1/300 | step 49,000/50,000] return=82.507 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=39)
[episode 1/300 | step 50,000/50,000] return=82.507 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=12, map=0)
[episode 1/300] complete steps=50,000 return=82.507 goal_reached=False total_success=0 rate=0.00%
[episode 2/300] resetting environment...
[episode 2/300] started (reset=0.0s, max_steps=50,000)
[episode 2/300 | step 1,000/50,000] return=2.650 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 2/300 | step 2,000/50,000] return=2.850 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 2/300 | step 3,000/50,000] return=3.350 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 2/300 | step 4,000/50,000] return=14.400 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 2/300 | step 5,000/50,000] return=14.350 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 2/300 | step 6,000/50,000] return=21.900 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=14, y=7, map=0)
[episode 2/300 | step 7,000/50,000] return=43.050 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 2/300 | step 8,000/50,000] return=47.600 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=1, map=40)
[episode 2/300 | step 9,000/50,000] return=58.959 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=12, y=7, map=0)
[episode 2/300 | step 10,000/50,000] return=61.365 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 2/300 | step 11,000/50,000] return=61.315 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 2/300 | step 12,000/50,000] return=64.682 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=9, y=29, map=12)
[episode 2/300 | step 13,000/50,000] return=64.932 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 2/300 | step 14,000/50,000] return=64.932 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 2/300 | step 15,000/50,000] return=66.082 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=13, map=0)
[episode 2/300 | step 16,000/50,000] return=66.082 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=0)
[episode 2/300 | step 17,000/50,000] return=67.832 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 2/300 | step 18,000/50,000] return=67.832 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 2/300 | step 19,000/50,000] return=67.834 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=31, map=12)
[episode 2/300 | step 20,000/50,000] return=68.984 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=31, map=12)
[episode 2/300 | step 21,000/50,000] return=68.984 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=30, map=12)
[episode 2/300 | step 22,000/50,000] return=69.500 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=14, y=28, map=12)
[episode 2/300 | step 23,000/50,000] return=70.150 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=31, map=12)
[episode 2/300 | step 24,000/50,000] return=70.150 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
