python main.py --model cql
WARNING: Failed to find CUDA.
step 000001 | loss 1.9859 | bellman 0.0230 | cql 1.9629 | q 0.0428 | target_q 0.2259 | device cuda
step 000050 | loss 1.8933 | bellman 0.0314 | cql 1.8620 | q 0.0507 | target_q 0.0776 | device cuda
step 000100 | loss 1.8920 | bellman 0.0740 | cql 1.8179 | q 0.0694 | target_q 0.0473 | device cuda
step 000150 | loss 1.8316 | bellman 0.0290 | cql 1.8026 | q 0.0859 | target_q 0.0504 | device cuda
step 000200 | loss 1.8759 | bellman 0.0552 | cql 1.8208 | q 0.0540 | target_q 0.0778 | device cuda
step 000250 | loss 1.9480 | bellman 0.0366 | cql 1.9113 | q -0.0415 | target_q 0.0628 | device cuda
step 000300 | loss 1.8160 | bellman 0.0419 | cql 1.7741 | q 0.0574 | target_q 0.0154 | device cuda
step 000350 | loss 1.9124 | bellman 0.0408 | cql 1.8716 | q 0.0363 | target_q 0.0695 | device cuda
step 000400 | loss 1.8366 | bellman 0.0677 | cql 1.7689 | q 0.0915 | target_q 0.0769 | device cuda
step 000450 | loss 1.7251 | bellman 0.0594 | cql 1.6657 | q 0.0357 | target_q 0.0314 | device cuda
step 000500 | loss 1.7503 | bellman 0.0431 | cql 1.7072 | q 0.1370 | target_q 0.0546 | device cuda
step 000550 | loss 1.8468 | bellman 0.0389 | cql 1.8079 | q 0.0778 | target_q 0.0937 | device cuda
step 000600 | loss 1.8457 | bellman 0.0939 | cql 1.7518 | q 0.0560 | target_q 0.0686 | device cuda
step 000650 | loss 1.8045 | bellman 0.0298 | cql 1.7747 | q 0.1211 | target_q 0.0684 | device cuda
step 000700 | loss 1.9293 | bellman 0.2533 | cql 1.6761 | q 0.1313 | target_q 0.3175 | device cuda
step 000750 | loss 1.9054 | bellman 0.0592 | cql 1.8461 | q 0.0223 | target_q 0.0751 | device cuda
step 000800 | loss 1.6947 | bellman 0.0512 | cql 1.6436 | q 0.1724 | target_q 0.0733 | device cuda
step 000850 | loss 1.8070 | bellman 0.0340 | cql 1.7729 | q 0.1022 | target_q 0.0642 | device cuda
step 000900 | loss 1.8131 | bellman 0.0730 | cql 1.7401 | q 0.0541 | target_q 0.0859 | device cuda
step 000950 | loss 1.8056 | bellman 0.0615 | cql 1.7441 | q 0.0924 | target_q 0.0558 | device cuda
step 001000 | loss 1.8193 | bellman 0.0855 | cql 1.7338 | q -0.0271 | target_q 0.0368 | device cuda
step 001050 | loss 1.8296 | bellman 0.0846 | cql 1.7451 | q 0.2228 | target_q 0.2847 | device cuda
step 001100 | loss 1.7519 | bellman 0.0975 | cql 1.6545 | q 0.3252 | target_q 0.3059 | device cuda
